FullName,SSN,DOB,Has_Voted
Felicio Lovemore,650-81-5312,1/15/1938,false
Gwyneth Peplow,434-03-5210,8/3/1947,false
Kirsti De Vries,403-10-8088,4/14/1992,true
Dagmar McClune,361-22-0865,4/1/1931,false
Garner Tevelov,883-68-9800,1/14/1935,false
Farand Cess,567-35-1975,12/22/1980,false
Alisander Kemish,273-95-0888,11/27/2006,true
Melba Seaking,533-23-4402,2/7/1998,true
Luke Eddoes,838-88-7351,8/31/1958,true
Teresita Bence,868-44-5125,1/31/2006,false
Molly Nevill,131-49-3157,2/4/1935,false
Roldan Aggett,352-69-1838,3/4/1955,false
Kalie Sloyan,675-67-2429,10/7/1933,true
Rossie Ramsby,683-18-1613,7/14/1937,false
Melony Cumes,815-31-4004,4/29/1992,true
Charmane Burcombe,687-17-0213,3/16/1940,true
Willard Jeandillou,729-67-8493,10/30/1961,true
Fee Riddiford,474-42-9169,1/21/1939,true
Wadsworth Eefting,883-87-7580,8/5/1993,false
Kaye MacGiolla,301-80-4435,3/18/2012,false
Leland Hocking,823-68-4405,6/29/1964,false
Frank Fishburn,191-29-4034,7/1/1943,true
Riannon Pentercost,472-13-8740,5/21/2004,true
Eachelle Domenico,889-66-7389,10/19/1959,true
Milka Bewly,454-92-7469,11/25/1950,true
Cleve Duffet,487-04-7619,1/5/1938,true
Demetre Mityakov,770-53-5308,8/20/1994,false
Aurora Palatino,411-41-0180,3/15/2004,false
Nedi Witherington,359-98-9447,10/10/1961,false
Tremaine Greetham,583-27-2735,3/30/2018,true
Sherie Jaine,764-26-2904,11/25/1949,false
Hedwig Atkins,485-88-5614,8/13/2014,false
Ashlin Rucklidge,595-39-2411,10/17/1991,false
Curt Marshall,717-06-7279,1/15/1958,true
Vanda Johnigan,863-61-5747,1/13/1962,false
Isaiah Jaycox,691-98-6332,5/6/1959,false
Ellwood Davys,144-60-1848,10/31/1946,false
Matthus Black,495-14-2686,5/12/1961,true
Jewelle Woffenden,783-46-9482,10/22/1973,true
Olly Barltrop,514-45-2373,3/10/1963,false
Lorena Purple,334-97-9680,1/26/1975,true
Hartley Lissandri,341-81-2409,3/26/2003,true
Althea Spriggin,228-35-3917,5/8/1990,false
Morey Bernath,871-93-4392,4/26/1980,false
Lulu Laugherane,880-23-2440,4/13/1956,false
Giles Schieferstein,226-87-6133,9/25/1960,false
Malissia Sinson,567-61-0922,8/22/1999,true
Ianthe Westcot,834-69-9421,4/24/1989,false
Florrie Kennsley,814-84-9652,12/6/1955,true
Veradis Turbefield,608-61-0088,9/22/1934,false
Abagail Oxe,532-89-6840,11/20/1982,false
Freddy Stranger,301-20-8242,9/20/1951,false
Chlo Milhench,852-64-4084,1/18/1981,false
Obidiah Barzen,531-37-3342,11/1/1949,false
Tobias De Malchar,725-65-0533,4/26/1975,true
Joanie Shawley,556-42-3867,4/2/1967,false
Genia Diggles,576-91-3437,5/27/1955,false
Salome Fitzjohn,545-24-9166,11/18/1939,true
Vincenz Drew,395-14-6844,1/19/2000,true
Bruce Anthill,431-54-5355,2/1/1940,true
Sheppard Kinavan,370-67-7158,11/13/2015,true
Amory Roxburgh,804-78-4487,7/13/2000,false
Neale Mullender,664-35-2531,7/16/1951,false
Urbain Day,144-86-1556,12/14/1998,true
Davida Murton,323-66-4009,8/12/1949,true
Adolpho Krolik,818-23-8209,2/3/1951,true
Damian Monteath,829-77-1347,12/21/1988,true
Sig Gioan,111-83-3973,4/3/1940,false
Lydie Loveday,227-65-2082,8/30/1974,true
Lorianna Lewson,452-95-5315,6/1/1930,true
Shelden Amos,838-04-3001,3/29/1947,true
Gibb Paty,275-45-8177,7/13/2012,false
Kiah Battrick,848-45-0030,10/18/1938,true
Alan Ormerod,874-50-6283,10/17/1986,false
Goober Carabine,292-35-7996,6/5/1936,true
Minny Scard,221-24-6556,8/19/1957,false
Marchelle Bottle,388-60-7537,12/28/1948,false
Stavros Staziker,878-70-1666,5/14/1967,false
Giselle Jeannard,898-44-0320,3/15/1996,false
Virgina Linden,466-03-4964,5/27/1938,false
Michele Edgson,876-63-1791,8/19/1999,true
Wandie MacGowing,650-34-4820,10/23/2004,false
Traci Dornan,165-10-3124,8/16/1980,false
Cal Delacour,100-12-0774,5/12/2018,true
Max Mottinelli,249-33-3355,11/15/1963,false
Bobina Jindracek,109-57-1660,12/13/1982,true
Rourke Kruschev,170-96-8233,10/6/1933,false
Fawnia Duffit,655-49-1368,2/16/1996,false
Launce Aleksashin,451-72-3293,2/13/1988,true
Tessa Lambrick,272-93-8946,8/9/2012,false
Merrile Spours,431-55-3121,7/14/2000,true
Mirabella Ahearne,411-46-5318,4/20/1938,false
Corbet Pratley,255-74-4689,2/18/2008,true
Moira Bligh,357-55-6763,2/28/1984,true
Regan Sivyour,245-73-8023,10/22/1938,false
Kizzee Danne,269-98-0257,6/16/2012,false
Lotta Shutler,475-88-4727,4/22/1951,true
Abagail Greswell,256-35-6899,12/17/2002,true
Teddy Tallet,472-84-0700,11/10/1976,false
Val Yeats,692-36-4708,8/14/1941,false
Montague Castell,582-29-4267,12/11/1946,true
Doll Heinschke,727-67-1260,4/30/1933,false
Alis Southernwood,729-32-9691,9/26/1941,false
Gian Ripley,343-53-0872,11/20/1968,true
Jordana Buddleigh,604-26-5105,12/3/1939,false
Suzette Matthews,552-35-6679,2/21/1944,false
Odessa Lowers,266-06-1387,6/8/1971,true
Elspeth Bradburn,196-03-6907,12/24/1934,false
Theo Heardman,766-10-9977,9/28/2001,true
Sophia Weall,798-80-4154,10/12/2007,true
Dinnie Secker,481-70-8983,9/6/1949,false
Shell Boucher,181-18-0339,1/24/2016,false
Yankee Spain,155-27-2322,6/19/2015,false
Karrie Spurrett,356-95-1302,9/26/1957,true
Tonye Turfrey,587-53-0593,12/18/1990,false
Demetrius Triebner,313-32-3559,2/25/1961,true
Ikey Burgwin,265-92-8153,10/12/2001,true
Gwendolin Roj,531-78-2663,3/6/1995,false
Dulsea Fantonetti,503-04-4860,9/26/1938,true
Shem Shasnan,124-60-4033,7/26/1979,true
Jayme Diemer,821-45-7053,1/20/1986,false
Johnathan Jackways,396-95-5213,6/16/2017,true
Rafi Tuxsell,186-37-3592,5/17/1988,true
Dalis Spread,313-42-8377,1/19/1950,true
Daisey Arnowitz,122-25-1879,12/24/1930,true
Steffie Hasely,430-45-4825,11/27/1944,true
Phyllis Cappel,385-73-4391,1/18/1935,false
Elora Jeffry,353-18-4833,7/3/2009,false
Vaughn Harms,597-60-3274,8/20/1993,false
Lari Cordier,560-23-0893,2/19/1979,true
Ellene Skillman,835-98-3490,11/16/1968,false
Tani Graal,425-93-9859,5/14/1957,false
Silvan Addionizio,690-31-6269,3/26/1982,false
Evvie Sigart,772-78-1547,6/8/1957,false
Winny MacVagh,552-97-7128,11/25/2017,false
Edythe Millin,726-23-8644,10/7/1962,false
Catlin Robjohns,820-72-2899,6/15/1984,true
Brittni Belfrage,653-50-4173,12/1/2005,true
Andros Shepton,522-82-9843,3/23/1995,false
Giorgi Laidler,667-09-2516,5/29/2008,true
Carlo Apfelmann,420-95-7542,5/27/1958,false
Marlena Holdall,735-09-3122,2/7/2007,false
Angele Dyball,862-37-2063,12/2/1943,true
Johan Haffard,587-62-6296,3/8/1931,false
Misty Mohamed,621-28-1878,1/15/1966,true
Riva Ibel,382-04-0544,7/3/2012,true
Philip Shillam,476-29-8445,7/14/2015,true
Marshall Kubacki,329-84-0628,4/25/1972,true
Erie Rozec,858-43-0498,8/23/1951,true
Gabi Buckeridge,329-10-0013,12/30/1964,true
Tallia Ragge,520-34-0231,8/8/1949,false
Burch Casterot,169-30-6267,8/20/1990,false
Halimeda De Filippis,538-09-3882,3/22/1977,true
Betti Ekell,358-62-3914,9/2/1988,true
Ediva Carren,749-62-9468,9/24/1935,false
Leland Dymoke,367-53-7820,6/13/1982,false
Melamie Toffanelli,817-70-8841,5/21/1946,false
Den Klimsch,310-36-2355,3/4/1974,false
Torrance Becerra,374-35-5066,2/5/2015,false
Nickie Evershed,144-48-1013,3/15/1960,false
Sib Corkett,182-50-1249,10/15/2012,false
Arabel Waszczykowski,314-79-6719,7/18/1947,true
Catherine Lind,523-39-9022,7/6/2002,true
Farrell Danielsky,124-26-0444,7/3/1951,true
Antonia Bowbrick,845-41-1341,12/25/1935,true
Tatiana Hammell,854-80-9950,3/23/1951,true
Towny Hardson,213-12-9369,6/20/1955,true
Lisetta Mainland,350-82-2600,12/29/1949,false
Lavinia Lancastle,655-08-4623,4/9/2010,true
Frederik Klimes,832-87-7013,11/15/1954,false
Fee D'Agostini,450-49-5242,7/26/1965,false
Carlota Allpress,356-51-1393,2/21/2008,false
Reiko Fairbrass,260-74-3886,4/20/1958,false
Charita Ineson,652-02-6633,7/25/1930,true
Edward Pudge,643-75-3952,12/15/1946,false
Nadya Yegoshin,867-47-2713,7/28/2006,true
Ashien Bizzey,568-16-6484,6/18/1934,false
Tanhya Spadeck,612-78-3419,8/9/1979,true
Kelvin Cottee,382-64-6999,11/15/1965,true
Lacee Clissell,340-07-3892,6/13/1944,false
Connie Rix,177-52-6993,6/22/1984,false
Windy Audenis,123-10-2869,1/12/1948,true
Arnoldo Mularkey,854-12-8755,11/12/1958,false
Kermie Petrescu,547-92-4375,7/28/1978,false
Lisbeth Eckersall,715-95-6987,6/30/1979,true
Jaimie Regenhardt,435-72-0483,7/21/1978,false
Porty Brunton,371-75-1230,2/9/1999,false
Brnaba Aberdeen,672-68-4032,6/18/1993,true
Evvie Puttan,329-51-6443,4/16/1986,true
Reinaldo Gludor,801-55-3824,3/22/2003,false
Shaylyn Myner,398-02-4500,5/16/1946,true
Stevena Blampied,180-15-3437,6/30/1983,true
Traver Fitzsimmons,357-90-8720,8/1/1947,true
Heather Telega,170-92-7354,4/28/1934,true
Ellerey Westmore,714-65-9317,7/27/1930,false
Glenna Malthouse,557-24-4785,6/2/1999,false
Artie Le Fevre,466-86-7955,4/23/1940,true
Leon Burger,285-99-0495,3/14/1980,false
Sarita Slipper,899-11-1117,7/31/1932,true
Brodie Jalland,738-29-2486,2/10/2012,false
Hunfredo Manuele,126-45-3063,10/14/1948,true
Gabi Daile,492-68-7146,1/27/1989,false
Mureil Dutch,198-01-7729,10/16/1964,false
Kristal Falls,100-62-3500,1/7/1982,true
Ramon Clinnick,690-52-3023,4/17/1994,true
Blaine Kid,496-73-7442,1/3/1935,false
Constantine Sidney,804-71-9671,7/22/1984,false
Cindee Koop,585-65-3752,4/23/2005,true
Alaric Souten,867-95-0979,9/18/1975,false
Hewet Maddams,799-88-7876,3/5/1964,true
Terencio Curling,895-82-2256,11/20/1966,true
Talbot Whapple,176-18-6976,10/16/2014,false
Dulcine Stirman,437-58-8368,3/15/1965,true
Hildegarde Licquorish,466-53-9097,4/1/2005,false
Terese Aldis,764-66-9025,8/4/1987,true
Merv Skace,160-54-6597,4/11/1982,false
Fayre Dalton,638-10-8218,11/16/2002,true
Perrine Powderham,712-50-2153,8/12/1989,true
Elfrieda Gravy,522-34-8181,11/2/2007,false
Aigneis Ridde,474-99-0088,6/10/1959,true
Miguela Gelsthorpe,256-60-3169,2/15/1977,true
Wallace Leither,817-01-2258,1/2/1949,true
Lanie Milesap,851-28-7298,8/19/1941,true
Bab Dahle,747-73-2827,5/19/1961,true
Ericka Gorham,351-99-5030,10/19/1977,true
Cindelyn Fuzzens,752-71-4827,4/25/1932,true
Chicky McDill,464-86-5699,10/5/1948,false
Ashely Dowyer,782-19-5146,10/15/1941,true
Clark Kuhle,263-10-8528,2/23/1961,false
Sabra Schust,213-54-8422,3/19/1934,false
Maude Elford,210-73-9023,11/17/1947,false
Gipsy Crozier,294-46-0868,11/25/2012,true
Earvin Dimmock,195-22-9966,12/13/2017,true
Vittorio Penniell,702-28-5162,6/29/1962,false
Cristine Skein,843-07-3436,1/1/1986,false
Mechelle Harbison,175-33-8953,10/4/1980,true
Pammy Stenners,552-36-1804,7/30/2009,true
Creighton Caswall,643-27-7712,4/19/1993,true
Udell Matts,731-40-9333,7/21/2010,true
Celle Toke,436-28-2103,6/3/1948,true
Carol-jean todor,883-57-1234,11/6/1992,false
Orel Victor,232-48-0576,11/3/1994,false
Sheila Shercliff,654-92-2041,8/26/1989,false
Luisa Asple,222-09-7509,4/28/1964,false
Mikael Hardan,503-47-2566,10/28/2008,true
April Wadie,372-65-8178,11/6/2009,false
Rockey Mc Dermid,347-12-9469,2/9/1972,true
Filide Samber,205-36-6200,5/13/1945,true
Rockwell Girt,235-12-2358,4/27/1946,false
Carmencita Stocks,734-44-4541,11/17/2016,false
Ruthann Rowes,734-64-9892,2/21/1932,false
Gypsy Speck,325-48-4068,9/17/1978,false
Tamera Reddle,670-65-6608,3/24/1940,false
Goldie Castanaga,219-96-3477,10/11/1944,false
Lauri Filippazzo,335-98-1045,3/24/1969,false
Terrill Bridgeman,322-38-6662,11/1/1934,true
Augustus Saipy,234-21-4901,6/29/1968,true
Beth Mallalieu,325-50-7591,7/14/1970,false
Delbert Brawn,819-97-0057,9/25/1996,false
Larine Audritt,378-14-6672,2/26/1940,false
Callie Dismore,183-02-9411,11/5/1946,true
Amara Pfertner,428-92-4673,6/9/1964,false
Caryl Kluger,840-04-7665,12/24/1988,true
Dodie Desvignes,158-50-4433,6/21/1961,false
Rhett Ollivier,134-36-6393,3/8/1950,true
Bert Cleever,313-02-4213,6/2/2018,true
Josefa Grainge,629-49-7803,3/17/2017,false
Mychal Deluca,750-84-7111,6/12/1964,false
Eunice Avramovitz,224-66-7182,6/9/1977,false
June Bilbrey,368-33-1113,6/20/2001,true
Sunny Lake,619-96-0628,4/11/1964,false
Parrnell Letessier,823-06-4440,8/22/2015,true
Alane Gaydon,724-59-0975,9/13/1948,false
Halley Klimkiewich,677-61-1092,7/26/1957,false
Winston Gillibrand,501-69-8790,5/26/1991,false
Merry O'Dulchonta,570-81-2852,2/19/1968,false
Burk Cheke,743-38-2537,9/8/2013,true
Bat Darycott,788-09-2382,12/17/1996,true
Beatrice Canaan,571-63-6571,6/29/2004,true
Lucho Muckian,496-88-8315,8/2/1937,true
Hersh Matts,705-87-4820,5/9/1959,true
Clark McBain,508-16-3706,11/19/1958,false
Matthus Tankard,178-70-0467,5/24/1958,false
Durward Di Bernardo,422-15-7443,9/11/1961,false
Zechariah Mingardo,395-16-0956,7/20/2017,true
Ken Esslement,590-73-0982,4/11/1998,false
Leland Mathouse,360-83-3149,9/20/1972,false
Mikael Storrier,417-78-8969,12/4/1987,false
Maurise Copcote,387-83-6041,1/18/1936,false
Sherman Bertolin,627-53-9654,1/31/2012,false
Chariot Shird,729-53-7455,1/14/1968,true
Cissy Noad,688-01-4358,9/20/1979,false
Konstantine Fuke,274-63-3092,4/8/1930,false
Mabel Velte,266-61-7316,8/15/1999,false
Mark Bursnall,376-17-2102,7/15/1946,true
Tatiania Vaneschi,521-47-7180,8/24/1992,true
Elisabet Whorlton,292-25-4562,9/29/2014,true
Florinda Kislingbury,182-03-6471,12/4/1992,false
Tova Haworth,332-17-6508,12/9/2004,false
Concordia Zammett,618-70-6623,10/9/1989,true
Maxy Hughes,268-27-2379,3/30/1943,false
Katherine Rosoni,293-37-9634,2/2/1975,true
Marlie Gery,573-82-2598,4/1/1981,true
Courtnay Dando,255-84-1658,5/1/2012,true
Barby Van den Velde,551-15-6726,5/9/1974,true
Mab McBeith,684-51-9288,4/28/2017,true
Goldie Johns,588-04-2216,6/9/1943,false
Carilyn Lazenbury,127-90-9850,3/21/1993,false
Elsbeth Monger,444-93-7875,3/2/2001,true
Pennie Skelhorn,473-76-8217,1/9/1938,true
Esmeralda Pinnock,270-96-6806,1/6/1952,false
Ragnar Strathern,383-55-2886,9/21/2016,false
Jose Valentino,608-84-0440,11/4/1976,true
Robenia Kiffe,406-39-0183,2/18/2002,false
Dawna Kempster,219-43-0197,7/10/1946,true
Werner Ilyinykh,571-39-5153,10/2/1947,false
Ambrosius Kippie,818-46-3992,11/2/2003,false
Dorice Maruszewski,613-01-1303,11/8/1982,false
Vail Binnion,150-90-5284,6/12/2012,false
Sonni Rive,865-22-2901,4/18/1978,true
Jarred Mapes,359-38-3130,5/17/2007,false
Tricia Saph,560-41-2743,11/10/2010,false
Deedee Keep,864-92-1044,10/10/1989,true
Bert Dodworth,796-95-4748,12/25/2010,false
Benedikt Haacker,159-48-9826,5/9/1956,true
Phillie Le Brun,547-21-7789,1/20/1998,true
Eugene Dann,462-38-6366,10/30/1983,false
Foster Hoonahan,420-16-9552,5/21/1931,false
Kenny Torrent,248-22-3638,5/5/1987,true
Alyse Wyllis,778-71-1691,4/8/2012,false
Rosette Draude,776-78-3791,7/29/1940,true
Reynolds Alton,452-17-5808,1/20/1956,true
Martelle Owbridge,819-37-3059,6/2/1990,true
Niccolo Collyns,799-03-3920,2/11/1963,true
Maurene McKune,854-48-8412,10/21/1991,true
Glynis Groundwater,829-82-4984,5/19/1936,false
Gustavus Bownass,168-27-8183,10/5/2011,false
Ellen Woodwin,718-46-8537,9/7/1950,false
Charlotte Dunmuir,702-13-9687,11/6/1949,false
Alexa Brogden,451-56-1227,3/13/1995,false
Paolo Kimbury,411-21-7550,12/4/1967,true
Llewellyn Trase,550-56-5404,2/18/2016,false
Brantley McNae,198-10-5078,5/6/2013,true
Sauncho Stonard,402-48-7653,8/2/1990,true
Tamqrah Taylerson,772-36-3426,4/27/1936,false
Almire Girardi,355-55-5102,3/8/1981,true
Dexter Carty,826-17-0808,6/3/2001,true
Friedrich Eric,371-81-6353,1/31/1959,false
Cristin Patington,143-53-6756,4/2/1944,false
Maryl Cheeseman,154-04-9622,9/5/1954,false
Minnnie Luckman,118-67-3457,1/15/1948,false
Emalee Dobey,633-96-6463,9/11/2005,false
Bren Laundon,146-68-9844,6/10/2017,true
Laurella Higginbottam,182-11-6746,2/27/1989,false
Jocelyne Pree,437-92-6810,10/10/1933,false
Clemmy Bain,731-09-5518,10/22/1988,true
Bendite Wallenger,825-53-0319,8/24/1988,true
Madelin Demeter,547-99-3686,3/27/1988,false
Kari Abbs,605-92-5601,4/12/1998,true
Cory Halksworth,708-08-4887,4/15/2001,false
Marigold Huguet,768-48-6669,12/11/1944,false
Munmro Josskoviz,721-24-1216,4/11/2007,true
Effie Leatherborrow,772-90-0684,10/24/1936,true
Idalina Touzey,335-22-2709,4/27/2000,false
Shannon Crump,301-23-2333,3/29/1949,true
Krystalle Camden,144-34-9429,7/20/1944,true
Dorelle Dadge,839-38-9126,9/28/1984,true
Keefe Gerty,166-11-9198,4/24/2015,true
Blanch Freschini,877-64-6077,11/9/1987,true
Glynda Goodburn,221-53-3815,8/24/1945,true
Karie Baumann,433-19-8587,7/20/1983,false
Cindy Hambatch,776-22-8452,8/24/1975,false
Opal Filewood,255-01-4412,8/2/1966,false
Tessa Darkins,409-78-4498,2/10/1965,true
Derward Standon,891-37-0021,1/7/1932,false
Tasia Tinson,260-32-6276,6/6/1982,false
Lettie Turk,772-39-2647,12/31/1989,false
Nannette Caccavari,366-76-5915,6/13/1971,true
Cesare Grimsditch,891-82-4018,3/3/1974,false
Rickey Aldersley,537-20-3545,12/4/1995,false
Gates Smittoune,104-46-6606,8/22/1951,false
Skip Matous,215-30-9250,7/3/1986,false
Christine Hambright,437-35-7580,1/25/1943,true
Wenona Minihan,428-90-6554,6/25/1984,true
Winona Thunderchief,424-92-8167,1/13/1991,false
Aarika Heatherington,632-36-6356,5/8/1962,false
Tristan Tubb,418-84-5147,12/21/2004,true
Stephanus Donalson,522-75-9293,8/31/1966,true
Karil Cody,208-59-3267,2/18/1993,true
Khalil Reidshaw,776-17-3105,9/5/1978,true
Rick Hayfield,621-01-2977,6/1/1967,false
Justen Joice,356-03-4365,6/20/1930,true
Mellisa Mellmer,690-08-9671,6/1/2010,false
Greggory McEwen,771-80-2226,7/5/1957,false
Jone Glencros,114-52-6034,2/13/1972,true
Free Fullerd,781-84-3649,12/17/1935,true
Meghan Kermitt,893-30-0367,5/4/1933,false
Daryle Livesay,880-99-1298,3/7/2002,false
Fran Shearmur,392-29-4906,6/4/1955,true
Marley Frobisher,278-56-1212,8/9/2004,true
Raye Keough,596-56-5631,2/18/2005,false
Penny Tumasian,284-79-2049,7/4/2003,false
Christyna Guirau,189-15-8989,11/28/1997,true
Hernando Mariolle,194-98-8599,11/8/1950,true
Kynthia Heymann,401-05-8863,1/22/1968,true
Stanwood Chastelain,780-79-4707,5/2/1988,false
Leisha Habercham,584-03-9838,10/26/2009,false
Kikelia McCutcheon,718-48-7969,1/16/1995,true
Whitney MacCaughan,505-45-0156,9/21/1992,true
Andromache Ayers,480-02-3550,8/6/2012,true
Terrell Grieveson,181-34-0249,3/10/1976,false
Franciska Swancock,412-10-5427,10/24/2007,true
Arden Crallan,820-25-8429,12/17/1989,true
Hendrika Gutteridge,879-18-6006,5/20/2014,true
Melisenda Bank,655-22-2247,7/31/1955,false
Gypsy Matthensen,259-59-4372,3/24/2007,false
Hartwell Eckert,461-82-4321,3/6/1972,true
Thurston Stallard,707-87-1177,5/7/1986,true
Teador Akess,854-53-8856,8/13/1942,false
Adriana Feldharker,116-17-5628,12/17/1956,true
Reena Kliement,285-18-1324,11/2/1934,true
Benoite Carleman,454-52-4445,2/1/2007,true
Axel Whatson,217-85-2315,11/4/1943,false
Monroe Pautard,145-68-1501,9/27/1995,true
Camile De Matteis,451-25-0845,6/30/1952,true
Orv Euler,425-23-8138,9/2/1974,false
Bridie Threlkeld,296-03-6870,9/1/1945,true
Maure Felgate,432-16-3343,9/4/1937,false
Cleve Mellem,418-91-5589,10/30/1997,false
Meggie Besson,329-98-9356,9/6/1989,false
Valentine Boarder,803-69-5781,6/13/1966,false
Murielle Sowley,857-62-0704,8/12/1946,true
Horacio Tyzack,234-66-1181,10/24/1949,true
Aeriela Poetz,417-03-9361,4/20/2009,true
Dorian Rival,241-04-5287,11/18/1967,false
Christoffer Ricart,697-44-9590,9/8/2012,false
Gabby Eccleston,427-62-8814,1/31/1975,false
Armando Gaskin,518-17-4759,5/25/1965,true
Chadd Hebbes,769-30-0443,4/21/1944,false
Nickey Stean,762-74-1314,9/15/1974,true
Hernando Bourdon,303-01-6126,12/28/1930,true
Leann Greir,886-73-2414,12/19/1940,true
Crissie Werendell,536-34-7985,7/15/1987,true
Jany Chatto,149-64-6473,6/3/2012,false
Crichton Staining,280-73-2048,1/7/1947,true
Melonie Nellen,656-73-8516,11/30/1931,false
Phebe Jemmison,362-23-4700,12/5/1971,true
Flin Labet,778-65-2232,8/5/1983,false
Venus Yellop,439-15-6680,7/25/1994,false
Anthony Dawltrey,291-88-0607,12/4/1966,false
Annaliese Kaminski,143-19-8334,3/5/1979,true
Sela Bartolini,683-11-9074,10/17/1961,false
Immanuel Daughtery,222-89-2426,3/23/1953,false
Jacquelynn Hatliffe,482-29-1461,5/19/1979,false
Vera Le Hucquet,873-47-6209,10/4/2016,false
Conrad Mecchi,832-85-5779,1/28/1985,true
Clay McGrane,155-24-3464,5/13/1933,true
Ronald Tallboy,394-86-5185,4/17/1933,true
Bernarr Lilian,863-72-6938,3/29/1969,false
Skylar Ledgerton,484-57-2265,4/2/1972,false
Bard Grubb,635-29-1868,9/18/1943,false
Gabi Bambrugh,512-61-6564,8/18/1962,false
